Open,High,Low,Close,Volume,open Time,Close Time,Quote Asset Volume,Number of Trades,Taker Buy Base Asset Volume,Taker Buy Quote Asset Volume
1693677000000,25832.53000000,25832.53000000,25813.01000000,25822.43000000,92.48739000,1693677299999,2388139.60542440,3437,37.65157000,972181.42157010,0
1693677300000,25822.44000000,25823.77000000,25813.58000000,25813.58000000,44.45474000,1693677599999,1147853.85601170,1770,13.25152000,342178.61841200,0
1693677600000,25813.58000000,25822.35000000,25797.79000000,25807.90000000,132.72834000,1693677899999,3425445.91196420,4434,49.80974000,1285431.33740520,0
1693677900000,25807.90000000,25812.59000000,25781.29000000,25784.00000000,133.17163000,1693678199999,3434697.46707260,4305,39.37012000,1015446.95204710,0
1693678200000,25784.00000000,25801.67000000,25782.49000000,25796.22000000,90.23080000,1693678499999,2327056.52383720,2775,46.41356000,1196943.58666370,0
1693678500000,25796.23000000,25796.23000000,25765.60000000,25772.07000000,122.30701000,1693678799999,3153143.48969360,3803,36.13405000,931523.17325510,0
1693678800000,25772.07000000,25782.58000000,25767.62000000,25777.65000000,119.73926000,1693679099999,3086063.85257390,3404,64.97294000,1674544.79105750,0
1693679100000,25777.65000000,25787.28000000,25765.69000000,25767.82000000,83.50831000,1693679399999,2152637.43530770,2678,31.28095000,806338.17683890,0
1693679400000,25767.82000000,25797.74000000,25763.20000000,25797.32000000,93.22052000,1693679699999,2403046.06132540,3076,50.55774000,1303397.79990480,0
1693679700000,25797.32000000,25824.85000000,25793.31000000,25824.84000000,111.19078000,1693679999999,2869554.83661780,3089,74.39895000,1919956.10521910,0
1693680000000,25824.84000000,25824.85000000,25795.00000000,25795.01000000,50.69983000,1693680299999,1308266.17341040,2091,13.36256000,344763.83601270,0
1693680300000,25795.01000000,25807.91000000,25792.63000000,25807.00000000,33.05158000,1693680599999,852738.97760230,1779,17.16559000,442864.50419330,0
1693680600000,25807.01000000,25811.86000000,25788.48000000,25811.86000000,53.84630000,1693680899999,1389140.87208750,2142,22.96300000,592398.59319980,0
1693680900000,25811.85000000,25816.90000000,25806.40000000,25809.63000000,45.61904000,1693681199999,1177489.50518860,1578,19.48782000,503002.27948950,0
1693681200000,25809.62000000,25809.63000000,25800.00000000,25805.00000000,54.47460000,1693681499999,1405545.88789890,2030,16.70545000,431020.62421080,0
1693681500000,25804.99000000,25811.81000000,25804.99000000,25811.81000000,39.88735000,1693681799999,1029453.08825230,1834,26.15999000,675158.19177160,0
1693681800000,25811.80000000,25820.00000000,25808.31000000,25820.00000000,37.71799000,1693682099999,973535.46332860,1442,24.56382000,634007.39986310,0
1693682100000,25819.99000000,25822.71000000,25813.28000000,25821.67000000,58.35099000,1693682399999,1506556.20597740,1815,14.28342000,368773.93933780,0
1693682400000,25821.67000000,25838.58000000,25819.81000000,25833.56000000,52.56099000,1693682699999,1357486.88580910,1949,31.00300000,800725.75139170,0
1693682700000,25833.57000000,25833.57000000,25812.08000000,25812.09000000,32.86299000,1693682999999,848585.88175820,1519,4.43017000,114373.29416930,0
1693683000000,25812.08000000,25829.46000000,25807.34000000,25827.68000000,53.38503000,1693683299999,1378326.88787940,1965,31.68307000,817950.69467440,0
1693683300000,25827.67000000,25831.99000000,25825.79000000,25828.27000000,35.67346000,1693683599999,921373.70962120,2087,17.94628000,463509.15291780,0
1693683600000,25828.26000000,25834.26000000,25828.26000000,25834.26000000,34.33670000,1693683899999,886981.08687550,1411,17.74180000,458274.83950660,0
1693683900000,25834.25000000,25846.07000000,25827.22000000,25839.37000000,80.45472000,1693684199999,2078741.40252470,1844,43.23327000,1116990.91616430,0
1693684200000,25839.36000000,25845.99000000,25837.04000000,25837.04000000,22.63846000,1693684499999,585051.50897770,1517,9.41321000,243267.60866410,0
1693684500000,25837.05000000,25837.05000000,25827.77000000,25833.39000000,34.08770000,1693684799999,880523.21461810,1425,13.09420000,338223.07304830,0
1693684800000,25833.40000000,25833.40000000,25819.25000000,25820.28000000,55.20209000,1693685099999,1425474.94039440,2050,20.36397000,525830.10476630,0
1693685100000,25820.29000000,25837.51000000,25820.28000000,25832.10000000,47.95702000,1693685399999,1238715.85247710,1586,28.23548000,729251.17769100,0
1693685400000,25832.09000000,25836.89000000,25832.09000000,25836.89000000,30.01175000,1693685699999,775360.99153470,1574,15.85934000,409729.88823780,0
1693685700000,25836.89000000,25836.89000000,25835.47000000,25836.46000000,17.77843000,1693685999999,459332.69066270,1332,5.61460000,145061.52882600,0
1693686000000,25836.47000000,25846.88000000,25836.46000000,25836.49000000,41.15857000,1693686299999,1063667.85759250,1585,21.89034000,565718.15625630,0
1693686300000,25836.48000000,25836.49000000,25826.66000000,25826.66000000,18.19313000,1693686599999,469912.62251510,1082,4.31772000,111516.80497760,0
1693686600000,25826.66000000,25828.66000000,25825.07000000,25828.11000000,29.14975000,1693686899999,752864.42225880,1242,13.74469000,354985.26030840,0
1693686900000,25828.11000000,25839.92000000,25817.84000000,25839.92000000,43.02258000,1693687199999,1111197.52025240,1677,25.23023000,651661.83397610,0
1693687200000,25839.91000000,25840.34000000,25838.85000000,25838.85000000,20.68264000,1693687499999,534422.61746030,1085,5.36370000,138592.97819630,0
